[2021-04-27 16:09:04.663893]	Получено число: 173408241 
[2021-04-27 16:09:05.701928]	Получены данные b'\xf1\xffV\n' 
[2021-04-27 16:09:05.702894]	Получено число: 173473777 
[2021-04-27 16:09:06.719894]	Получены данные b'\xf1\xffV\n' 
[2021-04-27 16:09:06.720893]	Получено число: 173473777 
[2021-04-27 16:09:07.745892]	Получены данные b'\xf0\x7fW\n' 
[2021-04-27 16:09:07.745892]	Получено число: 173506544 
[2021-04-27 16:09:08.763892]	Получены данные b'\xf0\x7fW\n' 
[2021-04-27 16:09:08.763892]	Получено число: 173506544 
[2021-04-27 16:09:09.787951]	Получены данные b'\xf0\xbfW\n' 
[2021-04-27 16:09:09.788894]	Получено число: 173522928 
[2021-04-27 16:09:10.807892]	Получены данные b'\xf0\xbfW\n' 
[2021-04-27 16:09:10.808893]	Получено число: 173522928 
[2021-04-27 16:09:11.821895]	Получены данные b'\xf2\xbfW\n' 
[2021-04-27 16:09:11.822892]	Получено число: 173522930 
[2021-04-27 16:09:12.836894]	Получены данные b'\xee\xbfW\n' 
[2021-04-27 16:09:12.837893]	Получено число: 173522926 
[2021-04-27 16:09:13.865897]	Получены данные b'\xf4\xbfW\n' 
[2021-04-27 16:09:13.866893]	Получено число: 173522932 
[2021-04-27 16:09:14.884898]	Получены данные b'\xef\x9fW\n' 
[2021-04-27 16:09:14.885893]	Получено число: 173514735 
[2021-04-27 16:09:15.907893]	Получены данные b'\xef\x9fW\n' 
[2021-04-27 16:09:15.907893]	Получено число: 173514735 
[2021-04-27 16:09:16.936892]	Получены данные b'\xed\x9fW\n' 
[2021-04-27 16:09:16.937892]	Получено число: 173514733 
[2021-04-27 16:09:17.953893]	Получены данные b'\xf1\x9fW\n' 
[2021-04-27 16:09:17.954893]	Получено число: 173514737 
[2021-04-27 16:09:18.967894]	Получены данные b'\xef\xafW\n' 
[2021-04-27 16:09:18.968894]	Получено число: 173518831 
[2021-04-27 16:09:19.989893]	Получены данные b'\xef\xafW\n' 
[2021-04-27 16:09:19.990892]	Получено число: 173518831 
[2021-04-27 16:09:21.005899]	Получены данные b'\xed\xafW\n' 
[2021-04-27 16:09:21.006892]	Получено число: 173518829 
[2021-04-27 16:09:22.025891]	Получены данные b'\xf1\xafW\n' 
[2021-04-27 16:09:22.025891]	Получено число: 173518833 
[2021-04-27 16:09:23.049893]	Получены данные b'\xeb\xafW\n' 
[2021-04-27 16:09:23.050952]	Получено число: 173518827 
[2021-04-27 16:09:24.065909]	Получены данные b'\xee\xa7W\n' 
[2021-04-27 16:09:24.066954]	Получено число: 173516782 
[2021-04-27 16:09:25.084892]	Получены данные b'\xed\xabW\n' 
[2021-04-27 16:09:25.085893]	Получено число: 173517805 
[2021-04-27 16:09:26.109893]	Получены данные b'\xed\xabW\n' 
[2021-04-27 16:09:26.110893]	Получено число: 173517805 
[2021-04-27 16:09:27.121898]	Получены данные b'\xeb\xabW\n' 
[2021-04-27 16:09:27.122892]	Получено число: 173517803 
[2021-04-27 16:09:28.147892]	Получены данные b'\xef\xabW\n' 
[2021-04-27 16:09:28.148892]	Получено число: 173517807 
[2021-04-27 16:09:29.167893]	Получены данные b'\xe9\xabW\n' 
[2021-04-27 16:09:29.168892]	Получено число: 173517801 
[2021-04-27 16:09:30.200893]	Получены данные b'\xf1\xabW\n' 
[2021-04-27 16:09:30.200893]	Получено число: 173517809 
[2021-04-27 16:09:31.223892]	Получены данные b'\xe7\xabW\n' 
[2021-04-27 16:09:31.224893]	Получено число: 173517799 
[2021-04-27 16:09:32.252892]	Получены данные b'\xf3\xabW\n' 
[2021-04-27 16:09:32.253893]	Получено число: 173517811 
[2021-04-27 16:09:33.277892]	Получены данные b'\xe5\xabW\n' 
[2021-04-27 16:09:33.279893]	Получено число: 173517797 
[2021-04-27 16:09:34.305918]	Получены данные b'\xf5\xabW\n' 
[2021-04-27 16:09:34.306892]	Получено число: 173517813 
[2021-04-27 16:09:35.326892]	Получены данные b'\xe3\xabW\n' 
[2021-04-27 16:09:35.326892]	Получено число: 173517795 
[2021-04-27 16:09:36.350892]	Получены данные b'\xf7\xabW\n' 
[2021-04-27 16:09:36.350892]	Получено число: 173517815 
[2021-04-27 16:09:37.371908]	Получены данные b'\xe1\xabW\n' 
[2021-04-27 16:09:37.371908]	Получено число: 173517793 
