[2021-04-27 17:42:59.505212]	Отправка числа: 1073741825 
[2021-04-27 17:42:59.741211]	Получен ответ: b'N' 
[2021-04-27 17:42:59.742211]	Отправка числа: 1073741822 
[2021-04-27 17:42:59.968211]	Получен ответ: b'N' 
[2021-04-27 17:42:59.968211]	Отправка числа: 1073741826 
[2021-04-27 17:43:00.186236]	Получен ответ: b'N' 
[2021-04-27 17:43:00.187212]	Отправка числа: 1073741821 
[2021-04-27 17:43:00.422265]	Получен ответ: b'N' 
[2021-04-27 17:43:00.423267]	Отправка числа: 1073741827 
[2021-04-27 17:43:00.671276]	Получен ответ: b'N' 
[2021-04-27 17:43:00.672277]	Отправка числа: 1073741820 
[2021-04-27 17:43:00.901277]	Получен ответ: b'N' 
[2021-04-27 17:43:00.902278]	Отправка числа: 1073741828 
[2021-04-27 17:43:01.136276]	Получен ответ: b'N' 
[2021-04-27 17:43:01.136276]	Отправка числа: 1073741819 
[2021-04-27 17:43:01.369277]	Получен ответ: b'N' 
[2021-04-27 17:43:01.370277]	Отправка числа: 1073741829 
[2021-04-27 17:43:01.597276]	Получен ответ: b'N' 
[2021-04-27 17:43:01.597276]	Отправка числа: 1073741818 
[2021-04-27 17:43:01.836293]	Получен ответ: b'N' 
[2021-04-27 17:43:01.837293]	Отправка числа: 1073741830 
[2021-04-27 17:43:02.091293]	Получен ответ: b'N' 
[2021-04-27 17:43:02.091293]	Отправка числа: 1073741817 
[2021-04-27 17:43:02.326308]	Получен ответ: b'N' 
[2021-04-27 17:43:02.327310]	Отправка числа: 1073741831 
[2021-04-27 17:43:02.573293]	Получен ответ: b'N' 
[2021-04-27 17:43:02.573293]	Отправка числа: 1073741816 
[2021-04-27 17:43:02.800392]	Получен ответ: b'N' 
[2021-04-27 17:43:02.801388]	Отправка числа: 1073741832 
[2021-04-27 17:43:04.096411]	Получен ответ: b'N' 
[2021-04-27 17:43:04.097412]	Отправка числа: 1073741815 
[2021-04-27 17:43:04.396429]	Получен ответ: b'N' 
[2021-04-27 17:43:04.397432]	Отправка числа: 1073741833 
[2021-04-27 17:43:04.681410]	Получен ответ: b'N' 
[2021-04-27 17:43:04.681410]	Отправка числа: 1073741814 
[2021-04-27 17:43:04.905449]	Получен ответ: b'L' 
[2021-04-27 17:43:04.905449]	Отправка числа: 536870906 
[2021-04-27 17:43:05.130429]	Получен ответ: b'R' 
[2021-04-27 17:43:05.130429]	Отправка числа: 805306360 
[2021-04-27 17:43:05.355428]	Получен ответ: b'R' 
[2021-04-27 17:43:05.356428]	Отправка числа: 939524087 
[2021-04-27 17:43:05.586427]	Получен ответ: b'N' 
[2021-04-27 17:43:05.587429]	Отправка числа: 939524088 
[2021-04-27 17:43:05.814429]	Получен ответ: b'N' 
[2021-04-27 17:43:05.814429]	Отправка числа: 939524086 
[2021-04-27 17:43:06.029441]	Получен ответ: b'R' 
[2021-04-27 17:43:06.029441]	Отправка числа: 1006632951 
[2021-04-27 17:43:06.251438]	Получен ответ: b'N' 
[2021-04-27 17:43:06.252438]	Отправка числа: 1006632952 
[2021-04-27 17:43:06.502467]	Получен ответ: b'N' 
[2021-04-27 17:43:06.502467]	Отправка числа: 1006632950 
[2021-04-27 17:43:06.753438]	Получен ответ: b'N' 
[2021-04-27 17:43:06.753438]	Отправка числа: 1006632953 
[2021-04-27 17:43:06.979455]	Получен ответ: b'N' 
[2021-04-27 17:43:06.980448]	Отправка числа: 1006632949 
[2021-04-27 17:43:07.217447]	Получен ответ: b'R' 
[2021-04-27 17:43:07.218449]	Отправка числа: 1040187383 
[2021-04-27 17:43:07.453448]	Получен ответ: b'N' 
[2021-04-27 17:43:07.454449]	Отправка числа: 1040187384 
[2021-04-27 17:43:07.689448]	Получен ответ: b'N' 
[2021-04-27 17:43:07.690449]	Отправка числа: 1040187382 
[2021-04-27 17:43:07.929448]	Получен ответ: b'N' 
[2021-04-27 17:43:07.930478]	Отправка числа: 1040187385 
[2021-04-27 17:43:08.154964]	Получен ответ: b'N' 
[2021-04-27 17:43:08.154964]	Отправка числа: 1040187381 
[2021-04-27 17:43:08.433964]	Получен ответ: b'N' 
[2021-04-27 17:43:08.433964]	Отправка числа: 1040187386 
[2021-04-27 17:43:08.688965]	Получен ответ: b'N' 
[2021-04-27 17:43:08.688965]	Отправка числа: 1040187380 
[2021-04-27 17:43:08.927964]	Получен ответ: b'N' 
[2021-04-27 17:43:08.928964]	Отправка числа: 1040187387 
[2021-04-27 17:43:09.270964]	Получен ответ: b'R' 
[2021-04-27 17:43:09.270964]	Отправка числа: 1056964600 
[2021-04-27 17:43:09.494963]	Получен ответ: b'N' 
[2021-04-27 17:43:09.495964]	Отправка числа: 1056964601 
[2021-04-27 17:43:09.747965]	Получен ответ: b'N' 
[2021-04-27 17:43:09.747965]	Отправка числа: 1056964599 
[2021-04-27 17:43:10.024019]	Получен ответ: b'N' 
[2021-04-27 17:43:10.024019]	Отправка числа: 1056964602 
[2021-04-27 17:43:10.254970]	Получен ответ: b'N' 
[2021-04-27 17:43:10.255964]	Отправка числа: 1056964598 
[2021-04-27 17:43:10.496965]	Получен ответ: b'N' 
